"mun";"year";"transfer";"fpm";"codibge";"siafi"
"Acrelândia";"2012";"FPM";"4482967,93";"1200013";"643"
"Acrelândia";"2013";"FPM";"4821251,95";"1200013";"643"
"Acrelândia";"2014";"FPM";"5160633,93";"1200013";"643"
"Acrelândia";"2015";"FPM";"6757581,58";"1200013";"643"
"Acrelândia";"2016";"FPM";"7629528,89";"1200013";"643"
"Acrelândia";"2017";"FPM";"7171166,15";"1200013";"643"
"Acrelândia";"2018";"FPM";"7667741,29";"1200013";"643"
"Assis Brasil";"2012";"FPM";"3362226,01";"1200054";"157"
"Assis Brasil";"2013";"FPM";"3615938,98";"1200054";"157"
"Assis Brasil";"2014";"FPM";"3870475,50";"1200054";"157"
"Assis Brasil";"2015";"FPM";"4054549,09";"1200054";"157"
"Assis Brasil";"2016";"FPM";"4577717,53";"1200054";"157"
"Assis Brasil";"2017";"FPM";"4302699,78";"1200054";"157"
"Assis Brasil";"2018";"FPM";"4600644,89";"1200054";"157"
"Brasiléia";"2012";"FPM";"6724451,69";"1200104";"105"
"Brasiléia";"2013";"FPM";"7231877,75";"1200104";"105"
"Brasiléia";"2014";"FPM";"7740950,76";"1200104";"105"
"Brasiléia";"2015";"FPM";"8109097,80";"1200104";"105"
"Brasiléia";"2016";"FPM";"10681340,31";"1200104";"105"
"Brasiléia";"2017";"FPM";"10039632,50";"1200104";"105"
"Brasiléia";"2018";"FPM";"10734837,67";"1200104";"105"
"Bujari";"2012";"FPM";"3362226,01";"1200138";"645"
"Bujari";"2013";"FPM";"3615938,98";"1200138";"645"
"Bujari";"2014";"FPM";"3870475,50";"1200138";"645"
"Bujari";"2015";"FPM";"4054549,09";"1200138";"645"
"Bujari";"2016";"FPM";"4577717,53";"1200138";"645"
"Bujari";"2017";"FPM";"4302699,78";"1200138";"645"
"Bujari";"2018";"FPM";"4600644,89";"1200138";"645"
"Capixaba";"2012";"FPM";"3362226,01";"1200179";"647"
"Capixaba";"2013";"FPM";"3615938,98";"1200179";"647"
"Capixaba";"2014";"FPM";"3870475,50";"1200179";"647"
"Capixaba";"2015";"FPM";"4054549,09";"1200179";"647"
"Capixaba";"2016";"FPM";"6103623,23";"1200179";"647"
"Capixaba";"2017";"FPM";"5736933,04";"1200179";"647"
"Capixaba";"2018";"FPM";"6134193,08";"1200179";"647"
"Cruzeiro do Sul";"2012";"FPM";"14569645,02";"1200203";"107"
"Cruzeiro do Sul";"2013";"FPM";"15669068,10";"1200203";"107"
"Cruzeiro do Sul";"2014";"FPM";"16772059,45";"1200203";"107"
"Cruzeiro do Sul";"2015";"FPM";"17569711,51";"1200203";"107"
"Cruzeiro do Sul";"2016";"FPM";"21362680,34";"1200203";"107"
"Cruzeiro do Sul";"2017";"FPM";"20079264,68";"1200203";"107"
"Cruzeiro do Sul";"2018";"FPM";"21469675,04";"1200203";"107"
