"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"1100015","Alta Floresta D'Oeste (RO)","329029","341325","377799","421300","478217","485374","499306"
"1100023","Ariquemes (RO)","1703642","1799853","1921532","2037799","2184346","2287910","2463773"
"1100031","Cabixi (RO)","99586","96365","113477","116565","133342","138110","140502"
"1100049","Cacoal (RO)","1372705","1433254","1660650","1794478","1947283","2082761","2180454"
"1100056","Cerejeiras (RO)","357333","353270","392417","397736","408194","439245","472179"
"1100064","Colorado do Oeste (RO)","222071","242767","273759","285372","306518","328377","330428"
"1100072","Corumbiara (RO)","175872","168681","186868","190906","236624","332804","320628"
"1100080","Costa Marques (RO)","134091","149739","168605","187170","206101","212879","230164"
"1100098","Espigão D'Oeste (RO)","376177","426546","462389","483962","543318","566361","608398"
"1100106","Guajará-Mirim (RO)","516172","605131","646154","682458","740352","775195","836882"
"1100114","Jaru (RO)","1004964","1070429","1130660","1207965","1313922","1354733","1476627"
"1100122","Ji-Paraná (RO)","2318729","2374801","2651246","2755755","2985775","3062162","3362336"
"1100130","Machadinho D'Oeste (RO)","353071","396658","424790","451940","512904","587758","642103"
"1100148","Nova Brasilândia D'Oeste (RO)","215982","230676","257255","272574","307760","345425","370024"
"1100155","Ouro Preto do Oeste (RO)","527990","556443","600734","633050","711121","762112","808667"
"1100189","Pimenta Bueno (RO)","687732","755542","837925","906443","1000682","1050682","1131158"
"1100205","Porto Velho (RO)","11970877","11699707","12793026","13970352","14751261","16974627","16647158"
"1100254","Presidente Médici (RO)","278269","292636","334713","359302","388308","410136","417601"
"1100262","Rio Crespo (RO)","56106","63732","74698","78522","90904","105272","106521"
"1100288","Rolim de Moura (RO)","845500","926089","1024962","1082400","1197691","1304503","1317091"
"1100296","Santa Luzia D'Oeste (RO)","122449","125662","132906","135949","149255","153096","146645"
"1100304","Vilhena (RO)","1797976","2011515","2124668","2185475","2421840","2523712","2769483"
"1100320","São Miguel do Guaporé (RO)","333933","395408","411122","454048","514606","633099","711451"
"1100338","Nova Mamoré (RO)","277775","308322","341402","379824","419534","463144","508702"
"1100346","Alvorada D'Oeste (RO)","184427","191138","205518","220491","243599","252252","256509"
"1100379","Alto Alegre dos Parecis (RO)","207365","183210","211214","212357","230030","328001","278480"
"1100403","Alto Paraíso (RO)","205906","214064","233006","258222","287145","307459","328751"
"1100452","Buritis (RO)","403805","427488","475961","519513","581699","649985","680976"
"1100502","Novo Horizonte do Oeste (RO)","104873","113700","127668","134273","150378","167453","165798"
"1100601","Cacaulândia (RO)","90742","99011","116988","125344","134084","139924","140630"
"1100700","Campo Novo de Rondônia (RO)","156228","181408","203987","223211","221141","266520","280341"
"1100809","Candeias do Jamari (RO)","267393","280360","317451","399266","399703","491350","567898"
"1100908","Castanheiras (RO)","46868","53263","59750","66529","68661","110916","113027"
"1100924","Chupinguaia (RO)","238955","225345","228353","235664","275131","279877","301332"
"1100940","Cujubim (RO)","221003","249223","265664","288031","315494","324735","357077"
"1101005","Governador Jorge Teixeira (RO)","118735","140140","145566","154876","163293","178524","178780"
"1101104","Itapuã do Oeste (RO)","128141","139589","133036","143840","153760","158293","180286"
"1101203","Ministro Andreazza (RO)","124807","146641","167762","170866","189597","215810","206233"
"1101302","Mirante da Serra (RO)","130632","134517","162908","178007","191943","205082","217967"
"1101401","Monte Negro (RO)","181390","205600","218407","229497","242608","267804","283003"
"1101435","Nova União (RO)","85014","86792","93875","103160","106656","121147","121054"
"1101450","Parecis (RO)","61508","71097","78819","84439","91389","99549","106590"
"1101468","Pimenteiras do Oeste (RO)","80775","77664","76783","79777","89278","99367","104579"
"1101476","Primavera de Rondônia (RO)","43790","47727","52854","53386","58681","62900","60540"
"1101484","São Felipe D'Oeste (RO)","67923","70826","73856","78389","84807","87273","89556"
"1101492","São Francisco do Guaporé (RO)","223069","245948","266619","293297","318965","335648","352762"
"1101500","Seringueiras (RO)","141930","157939","166738","180367","200123","232724","234981"
"1101559","Teixeirópolis (RO)","63277","67681","72074","79344","82670","83325","89304"
"1101609","Theobroma (RO)","125796","128042","137147","153737","169717","185034","191965"
"1101708","Urupá (RO)","128811","150563","171461","183100","196242","200082","217176"
"1101757","Vale do Anari (RO)","105600","99751","106054","118306","133118","143303","159963"
"1101807","Vale do Paraíso (RO)","95927","108134","117706","124700","130588","142330","150141"
"1200013","Acrelândia (AC)","162199","214652","207822","212961","239610","229644","236379"
"1200054","Assis Brasil (AC)","52805","64602","73332","77234","85322","91743","91486"
"1200104","Brasiléia (AC)","238704","294874","340917","388114","388521","388018","417839"
"1200138","Bujari (AC)","107914","120210","129895","147868","159696","158301","157797"
"1200179","Capixaba (AC)","129649","158800","149067","160134","177480","170990","170403"
"1200203","Cruzeiro do Sul (AC)","838657","969784","1150664","1060536","1223340","1287867","1425685"
"1200252","Epitaciolândia (AC)","185761","268087","257492","276370","412261","435952","459388"
"1200302","Feijó (AC)","224521","267203","309503","322418","344518","350880","364112"
"1200328","Jordão (AC)","52136","58271","70473","72755","73737","78628","76929"
"1200336","Mâncio Lima (AC)","121766","150136","187729","179969","201077","194421","198112"
"1200344","Manoel Urbano (AC)","66179","80018","94643","118697","128845","135401","125008"
"1200351","Marechal Thaumaturgo (AC)","119709","146339","162375","159654","176112","195344","192830"
"1200385","Plácido de Castro (AC)","178793","199657","237006","252968","242578","241231","252906"
"1200393","Porto Walter (AC)","67807","82060","96499","97729","107298","112711","112156"
"1200401","Rio Branco (AC)","6270619","6807581","8174771","8258089","7880432","8153153","8940823"
"1200427","Rodrigues Alves (AC)","109581","152053","171505","166470","183719","185008","184545"
"1200435","Santa Rosa do Purus (AC)","37657","45136","53395","57988","62132","71271","71467"
"1200450","Senador Guiomard (AC)","256395","290838","325673","337471","325553","359782","373185"
"1200500","Sena Madureira (AC)","333671","426881","478781","462253","476246","500512","518416"
"1200609","Tarauacá (AC)","292548","335520","387146","398537","424497","470854","488825"
"1200708","Xapuri (AC)","147390","168708","196802","202844","220428","231302","239114"
"1200807","Porto Acre (AC)","143464","172519","203206","211744","220840","229926","233716"
"1300029","Alvarães (AM)","78121","90875","107773","102360","144685","159083","169816"
"1300060","Amaturá (AM)","51061","59861","63736","66484","66265","80805","83091"
"1300086","Anamã (AM)","67764","84387","86080","83655","96390","108163","116341"
"1300102","Anori (AM)","137499","153867","168967","154630","179711","192984","218253"
"1300144","Apuí (AM)","136498","157858","193061","206200","192352","193492","210012"
"1300201","Atalaia do Norte (AM)","84683","95743","124922","143243","165713","141205","142481"
"1300300","Autazes (AM)","177215","197961","239017","265111","289804","328193","357098"
"1300409","Barcelos (AM)","121659","134364","147980","151620","157854","160672","168178"
"1300508","Barreirinha (AM)","158179","196999","210559","200195","224109","239721","258823"
"1300607","Benjamin Constant (AM)","182718","236931","270635","245147","271447","280086","308682"
"1300631","Beruri (AM)","88502","107968","120988","125637","124199","141498","151535"
"1300680","Boa Vista do Ramos (AM)","82357","100001","98384","101807","110655","125739","139703"
"1300706","Boca do Acre (AM)","209052","236629","277842","286360","328570","365383","416148"
"1300805","Borba (AM)","212496","236239","254923","260752","270980","296371","303714"
"1300839","Caapiranga (AM)","94805","111291","130604","135541","145057","142346","156312"
"1300904","Canutama (AM)","70361","81427","88213","88114","99109","103082","107613"
"1301001","Carauari (AM)","161914","214486","235646","251054","270919","286003","306340"
"1301100","Careiro (AM)","171485","193802","217517","247025","250074","272854","314585"
"1301159","Careiro da Várzea (AM)","202958","234401","241431","269183","295991","313356","337266"
"1301209","Coari (AM)","4207961","4558712","3105211","2261617","1170225","1322937","2015916"
"1301308","Codajás (AM)","446417","492322","651855","742360","651453","464273","500695"
"1301407","Eirunepé (AM)","282975","340332","382850","403200","398027","434006","517544"
"1301506","Envira (AM)","113710","116857","124880","129131","142361","148766","157496"
"1301605","Fonte Boa (AM)","122127","132637","151621","156442","151641","167593","180920"
"1301654","Guajará (AM)","77468","92709","100262","106588","111353","115995","123592"
"1301704","Humaitá (AM)","307585","367181","422861","450582","482341","556079","622149"
"1301803","Ipixuna (AM)","84610","106738","112260","120605","126316","139916","152286"
"1301852","Iranduba (AM)","382669","481446","529533","627693","625010","697064","679140"
"1301902","Itacoatiara (AM)","1310792","1440639","1591040","1762125","1891522","1979493","1881004"
"1301951","Itamarati (AM)","57651","73384","75976","79330","84732","93869","95164"
"1302009","Itapiranga (AM)","88902","68872","80542","80512","102310","107713","109917"
"1302108","Japurá (AM)","45849","50959","58162","60551","59570","61997","62832"
"1302207","Juruá (AM)","78582","84513","84834","90422","89823","99877","103844"
"1302306","Jutaí (AM)","137652","180234","182212","196731","197969","218569","224218"
"1302405","Lábrea (AM)","318288","380687","368576","390961","449071","495747","495068"
"1302504","Manacapuru (AM)","853165","1229929","1264411","1414754","1316860","1526357","1428130"
"1302553","Manaquiri (AM)","157440","182257","206792","231559","250252","236248","275153"
"1302603","Manaus (AM)","55551838","63829864","67418894","67076904","70234306","73225449","78192321"
"1302702","Manicoré (AM)","374855","400950","459510","492408","476291","495881","528955"
"1302801","Maraã (AM)","85760","96880","117725","122658","141135","153885","128444"
"1302900","Maués (AM)","297319","360983","389379","380954","410786","459063","501299"
"1303007","Nhamundá (AM)","106711","128950","121117","123219","135685","142267","151529"
"1303106","Nova Olinda do Norte (AM)","152005","157883","187770","195941","212324","234351","246712"
"1303205","Novo Airão (AM)","77207","92626","112457","117037","126322","131745","136020"
"1303304","Novo Aripuanã (AM)","109590","140185","149447","157337","170246","183334","199378"
"1303403","Parintins (AM)","811867","1010620","975798","949020","1027340","1092155","1119341"
"1303502","Pauini (AM)","97520","108044","136558","139060","142491","150838","156937"
"1303536","Presidente Figueiredo (AM)","590572","722104","662828","761204","547295","445555","822429"
"1303569","Rio Preto da Eva (AM)","318300","326203","370897","444180","446859","384152","383425"
"1303601","Santa Isabel do Rio Negro (AM)","86265","104748","123219","155313","127341","122726","137548"
"1303700","Santo Antônio do Içá (AM)","107787","126286","146110","149509","163636","172833","181268"
"1303809","São Gabriel da Cachoeira (AM)","187652","216457","257234","265932","284030","314682","329147"
"1303908","São Paulo de Olivença (AM)","142979","172810","190870","193791","206312","235478","251094"
"1303957","São Sebastião do Uatumã (AM)","60508","73866","84210","84630","93403","101297","117170"
"1304005","Silves (AM)","62378","83929","74699","105001","99257","96376","101399"
"1304062","Tabatinga (AM)","275456","327177","366628","382963","423684","463248","533611"
"1304104","Tapauá (AM)","128599","152594","189775","201237","215987","338884","247513"
"1304203","Tefé (AM)","558291","540069","710995","710973","657170","746603","934211"
"1304237","Tonantins (AM)","81782","99627","107192","114685","118661","123847","133833"
"1304260","Uarini (AM)","87491","106102","121455","130831","172385","186574","187766"
"1304302","Urucará (AM)","227714","256607","302307","310200","297880","298331","330475"
"1304401","Urucurituba (AM)","99087","110166","119412","113917","124236","143101","166351"
"1400027","Amajari (RR)","104081","120398","106016","123154","142465","163113","169685"
"1400050","Alto Alegre (RR)","153345","181429","190357","221320","251016","276115","280115"
"1400100","Boa Vista (RR)","5835746","6705377","7353245","7581092","8110722","8947813","10042255"
"1400159","Bonfim (RR)","139877","191785","185433","224232","247398","266844","281340"
"1400175","Cantá (RR)","153467","183167","200639","209781","226193","247658","268479"
"1400209","Caracaraí (RR)","222389","258592","267044","307049","327059","347759","347038"
"1400233","Caroebe (RR)","93127","123945","132112","142421","151484","162996","178391"
"1400282","Iracema (RR)","87502","114095","119517","126537","136169","150906","159894"
"1400308","Mucajaí (RR)","176930","209439","205852","248327","270760","299920","309567"
"1400407","Normandia (RR)","86659","102878","110653","123235","129566","148455","153494"
"1400456","Pacaraima (RR)","115388","131072","139438","145930","164379","171778","204457"
"1400472","Rorainópolis (RR)","308534","403929","436625","467660","501717","530590","547425"
"1400506","São João da Baliza (RR)","89964","109951","116628","124280","140162","155127","177730"
"1400605","São Luiz (RR)","74577","93160","94081","100434","110517","119130","139073"
"1400704","Uiramutã (RR)","69882","81508","86482","97451","103629","116502","111043"
"1500107","Abaetetuba (PA)","798053","891428","1056559","1192555","1246639","1337353","1413838"
"1500131","Abel Figueiredo (PA)","44328","57573","69372","66599","76699","80633","82210"
"1500206","Acará (PA)","506916","871619","577256","640890","789271","932175","914142"
"1500305","Afuá (PA)","232238","262214","301313","324962","318316","358271","357844"
"1500347","Água Azul do Norte (PA)","224992","287540","320451","379314","432588","443365","423047"
"1500404","Alenquer (PA)","364445","560154","531842","518610","660477","609255","566773"
"1500503","Almeirim (PA)","467571","454918","502847","475344","590295","666123","591585"
"1500602","Altamira (PA)","2206576","3094031","3948811","3201408","2497078","2501060","2722307"
"1500701","Anajás (PA)","130357","154237","167161","180985","180704","204751","206819"
"1500800","Ananindeua (PA)","5114549","4900297","5772894","6222672","6718793","6980443","7523457"
"1500859","Anapu (PA)","179067","209864","257292","302093","310094","351211","368918"
"1500909","Augusto Corrêa (PA)","203750","253554","251669","287174","309983","332780","305846"
"1500958","Aurora do Pará (PA)","176413","230601","240324","257268","298798","277394","260843"
"1501006","Aveiro (PA)","67953","87332","91998","97996","120567","144716","118079"
"1501105","Bagre (PA)","102506","141329","139405","147607","164989","176250","207936"
"1501204","Baião (PA)","203189","258691","258860","307389","338690","356595","346807"
"1501253","Bannach (PA)","46793","51382","58625","68221","79721","76465","78144"
"1501303","Barcarena (PA)","2006449","2658972","3902985","5513144","5014169","4818669","4737587"
"1501402","Belém (PA)","26362015","27139286","28687488","29215036","29466894","30244780","31484849"
"1501451","Belterra (PA)","150486","268532","251577","140052","151832","158065","159192"
"1501501","Benevides (PA)","794372","921749","1050325","1202057","1291065","1394023","1589870"
"1501576","Bom Jesus do Tocantins (PA)","84493","106169","121145","134478","153703","164637","176017"
"1501600","Bonito (PA)","54941","79527","81445","86352","108500","136290","151796"
"1501709","Bragança (PA)","756414","978372","912212","976997","1047905","1116023","1127832"
"1501725","Brasil Novo (PA)","129297","158513","181892","208756","228905","240063","251874"
"1501758","Brejo Grande do Araguaia (PA)","41223","49628","56859","64269","76450","80573","78180"
"1501782","Breu Branco (PA)","409761","473702","557970","518458","537286","580409","569751"
"1501808","Breves (PA)","503024","555397","621581","653059","671417","743334","813768"
