codibge,UF,iptu_2011,iptu_2012,iptu_2013,iptu_2014,iptu_2015,iptu_2016,iptu_2017,iptu_2018,iptu_2019
110001,RO,422378.44,364192.89,548758.45,422104.18,589658.81,637899.18,734181.41,730925.39,929970.12
110002,RO,5227272.16,6246976.88,6259184.97,5375898.40,6060719.22,6374345.87,7984211.70,8718272.14,10073789.67
110003,RO,135364.07,230093.05,230302.84,133867.85,96577.04,134929.52,169137.97,149202.20,198389.71
110004,RO,6987564.73,8839251.94,8833086.39,9723925.30,8996777.45,10119653.17,11250846.38,10618477.54,12462886.91
110005,RO,1271153.19,1219443.45,1322234.55,1652229.38,1574528.96,1499739.77,1525462.10,1649147.56,1817604.78
110006,RO,806734.69,785549.48,741904.71,642146.06,540236.59,518302.68,863715.24,703563.41,1108667.32
110007,RO,104476.93,74335.69,109414.67,89331.74,224415.40,271612.04,293678.78,335217.59,409831.56
110008,RO,213502.44,237985.86,244977.97,429601.78,166261.59,125397.15,233788.37,205385.17,318692.00
110009,RO,1231501.77,1165216.85,1067103.59,1525014.64,1599047.63,1970124.60,1763709.45,1746346.55,2146464.46
110010,RO,1694069.04,1393566.64,1487877.56,1209035.70,894741.75,1021970.18,1005304.09,1368384.10,1355907.75
110011,RO,1563103.60,1528383.35,1872413.49,1705262.74,1534962.13,1825447.14,4803078.23,6498221.57,6805392.37
110012,RO,7038750.47,7316518.97,8250021.30,8642630.36,7189202.19,6533921.81,6098175.35,6640281.62,7224106.92
110013,RO,836140.13,776571.19,905136.36,776476.54,789249.08,662123.48,918621.25,1289445.20,1425131.61
110014,RO,488508.24,621585.50,619765.71,716469.77,799674.74,679568.14,910751.28,935601.39,991550.16
110015,RO,1237023.23,1745314.98,2392428.20,2075447.04,1815315.97,1700934.74,2147006.72,2086600.16,2316109.99
110018,RO,2438089.73,2751286.37,2918738.23,3095286.12,2497165.93,2865710.68,3233750.82,3211026.85,3449502.92
110020,RO,19079934.55,17962282.05,20800605.56,25901491.42,28573993.09,22083475.41,25493300.73,33644487.93,31939077.21
110025,RO,731355.06,743525.94,782127.15,901553.78,1067446.50,738875.23,672523.34,833647.68,884861.48
110026,RO,19610.87,46634.97,73043.22,114299.22,100808.63,82229.20,127536.79,107325.81,116459.37
110028,RO,3810350.09,4770186.13,4722967.37,4805534.59,5108568.73,5756280.71,6719760.36,8126033.04,8706076.69
110029,RO,100056.30,104273.93,85432.97,83869.40,181485.43,160679.89,153478.39,212997.55,183060.11
110030,RO,6056394.77,5399088.87,7346666.50,7987564.25,7380817.90,7843720.68,8815545.79,9596720.90,10837185.87
110032,RO,438878.02,417093.00,393052.85,395728.25,2897941.78,517853.38,569901.08,587929.93,662109.69
110033,RO,272011.82,256406.03,446805.15,506834.93,398471.27,371422.68,481497.66,522097.83,873383.60
110034,RO,171135.08,217849.51,154942.76,218350.59,153599.30,87980.32,152567.28,182939.59,205197.75
110037,RO,115956.83,123825.63,176834.21,254627.30,322836.43,363467.50,323047.30,455876.94,429946.92
110040,RO,335356.85,291985.25,325836.61,309996.89,365701.98,427569.66,509958.92,501467.07,558431.18
110045,RO,1714811.67,1161044.32,1203889.47,1073965.11,903809.32,1616365.50,2291367.99,2260717.94,2326143.86
110050,RO,109760.26,60285.54,75184.48,67803.45,139412.81,123504.59,222641.61,154358.96,180891.06
110060,RO,129753.72,187514.39,256811.46,148589.92,135052.04,117684.15,190655.62,246313.72,299186.40
110070,RO,79004.31,58605.72,118159.22,149043.72,178587.86,190560.62,216172.09,212869.03,244039.00
110080,RO,376424.07,277326.94,304727.75,200436.97,191282.82,166388.80,358038.91,459856.19,375671.04
110090,RO,23272.47,15745.79,19060.93,28292.84,16143.24,12744.81,14839.16,16601.43,21412.28
110092,RO,117776.90,171044.55,133790.14,175032.42,107252.86,132162.24,148921.03,223468.93,395988.89
110094,RO,451647.17,550314.29,437896.10,480766.74,612053.96,371612.46,351745.57,493071.36,390833.12
110100,RO,151848.16,159246.91,200077.98,242528.87,327942.78,242695.68,261738.76,180752.03,330114.76
110110,RO,301812.61,301119.45,276109.45,321786.41,260815.15,210167.53,320566.38,374181.76,295569.35
110120,RO,130218.28,108660.82,135536.47,151818.56,162821.95,279850.05,222057.14,245452.76,237321.72
110130,RO,434842.30,225177.01,134341.88,172397.12,213955.33,283668.94,384217.67,518513.41,524877.76
110140,RO,203416.80,316782.97,571708.64,507529.14,328564.79,264019.04,285999.84,273749.00,337854.61
110143,RO,132388.21,90807.64,108699.55,116657.96,139876.33,169222.78,224420.35,349853.20,347275.05
110145,RO,31155.02,32240.98,22811.50,22343.83,13331.79,39438.28,23287.53,27810.12,80867.37
110146,RO,45542.74,76424.93,160408.67,56007.27,44745.36,124819.08,127093.38,162985.72,167024.92
110147,RO,52610.63,99839.15,109451.18,118801.83,75840.26,69594.61,96062.99,116387.16,170825.73
110148,RO,76398.07,39596.57,40355.98,89204.94,114698.28,142812.53,160719.01,142470.00,142917.80
110149,RO,521437.62,772236.47,923259.57,704660.06,920627.56,1010765.49,779659.75,1000684.37,906601.37
110150,RO,168841.35,133533.46,161425.14,197256.41,172613.15,217274.72,205058.75,202470.19,209921.45
