codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
110001,RO,2135551.35,2609966.32,2281018.86,2239028.41,3274626.18,2788627.57,2625922.89,2716265.90,2850873.43
110002,RO,22726773.53,26885904.15,27579877.96,26604087.36,27589173.12,25771951.77,26098555.00,30234273.69,33737509.36
110003,RO,543111.64,1039111.45,619625.82,982178.90,679662.18,743204.12,718604.73,1009173.11,963384.25
110004,RO,19168014.17,23304927.74,26924380.97,31164639.51,31239015.27,30965047.51,31851574.10,32891106.79,36940505.49
110005,RO,2808772.57,3156942.11,3409874.69,4419045.83,4035354.55,4104386.96,4076604.99,4614002.65,4853121.65
110006,RO,2478704.20,2681597.12,2934976.94,3540173.32,2552927.65,3000897.69,2751661.60,2660315.89,3169213.55
110007,RO,1205284.36,813035.89,1254753.65,1443320.57,936804.36,1038693.34,1376984.23,1403868.21,1450715.86
110008,RO,1990715.69,1118677.69,922010.23,855070.80,1117842.59,840600.30,1233857.41,1106090.98,1527840.15
110009,RO,3125080.53,2997880.49,3100838.36,4308022.73,4761974.99,5289237.18,4452631.59,4404445.95,5189452.42
110010,RO,4400591.14,4278487.32,4998111.10,4991607.05,4693846.85,4305628.94,3981004.92,4213059.05,4421248.92
110011,RO,7900020.65,9176294.14,8204266.06,8268952.93,7131039.14,7500821.50,11214843.18,13911981.43,14690685.44
110012,RO,27051178.04,31951242.95,34050679.85,36313899.41,33446074.69,33088597.34,33058482.32,35625829.31,38324573.57
110013,RO,2775674.87,2622247.13,3120488.03,2937595.54,3324901.14,3452525.65,3954612.14,4693597.07,4866202.71
110014,RO,1529758.56,1990000.14,2341554.91,2254146.24,1766638.59,1566215.78,1975202.67,1425615.04,2718342.74
110015,RO,6758601.28,7625496.51,8043243.23,7977745.43,6450504.88,6578278.25,7018251.94,7350206.02,7858130.37
110018,RO,8124932.43,9393123.37,7749905.38,9931475.39,9987092.97,10759569.46,9123194.39,9107150.89,17049496.61
110020,RO,349360239.43,356771152.66,336522494.85,336254159.77,274920364.06,201645488.21,194843530.47,203830685.47,186368165.25
110025,RO,2767323.52,2827802.88,4280001.48,4170057.42,3643387.65,2978930.75,2696138.25,2942988.94,3560932.49
110026,RO,322080.48,560750.32,425981.68,956055.53,783827.78,531154.27,512138.42,509220.66,974305.59
110028,RO,10592323.19,12690113.35,12555447.15,13917824.63,13294327.89,12365757.56,14087923.55,17497664.92,18123189.88
110029,RO,1053899.97,875146.30,1121771.50,977805.69,1387568.59,1119430.55,962629.25,1407265.20,1736015.05
110030,RO,22426113.80,24553806.55,28127254.66,31700023.44,31242585.44,30197233.71,29651057.99,33882463.11,37990304.05
110032,RO,2835536.58,2361666.90,2297813.39,2026034.40,5033750.97,2742155.90,2542605.08,1265464.14,1217249.26
110033,RO,2097877.24,1728695.18,1546340.73,2345685.58,2374696.44,2204813.89,1698695.07,2034306.93,2591483.19
110034,RO,2134182.76,1644021.56,1345331.48,1672542.53,1330380.71,1492490.79,1443627.11,1569078.71,1692702.79
110037,RO,497346.94,600874.61,594974.26,973403.58,1044089.28,766779.74,780555.07,1167533.93,1097288.04
110040,RO,1453677.02,1564328.89,1656967.97,1286192.48,1218516.89,1634826.83,1180222.84,1372992.34,1459082.67
