codibge,UF,total_2011,total_2012,total_2013,total_2014,total_2015,total_2016,total_2017,total_2018,total_2019
110001,RO,71382004.18,74657231.67,67834962.28,72276028.17,70223876.67,68143736.54,67810614.92,67544425.07,69533884.86
110002,RO,264142126.35,277148424.93,258752289.00,272762604.48,266515633.34,262419949.68,250390516.12,280235546.96,297881314.35
110003,RO,25681765.15,26804399.50,25969241.76,30584628.27,29844683.25,25937730.99,23758730.53,27277888.39,30116167.00
110004,RO,215890272.77,200396502.23,217404926.39,229212689.70,219517527.92,220125039.08,197790785.72,212827893.16,246514833.65
110005,RO,54102287.75,63770465.91,57342967.04,71782471.06,65917030.76,60107253.14,53143838.70,57729675.07,58334058.56
110006,RO,48599426.63,48991508.69,49222114.62,46768436.21,46606106.24,49868537.28,44407839.99,52180901.72,56651380.18
110007,RO,35251495.90,35877486.36,37981262.37,43143971.32,37753010.06,36659730.95,34353405.46,36376387.91,37941106.64
110008,RO,38992013.68,42098098.53,35473930.01,37791291.05,36633401.35,33934955.73,37034233.76,44791080.09,40885048.34
110009,RO,78961348.38,80329659.00,72729853.37,84357842.76,80411197.32,81854968.97,74263600.24,83641899.73,94158703.41
110010,RO,95774322.59,100091424.94,92904713.11,101874647.05,97405388.14,99008684.67,92605256.01,102610840.60,110458539.67
110011,RO,139382194.42,144086413.45,123908958.89,135777563.12,125597432.58,121627312.35,122766163.45,146627705.26,161018378.02
110012,RO,264627065.61,275247091.56,274465185.17,284441937.94,278550038.89,276783212.95,281316403.70,285166610.75,309291516.72
110013,RO,85055340.22,90489574.60,83588315.72,89148322.59,86141476.70,80109067.99,86748296.97,98794767.30,103621108.42
110014,RO,53175907.53,61791470.66,55745037.83,56475941.79,47108620.93,51882299.81,49467035.76,56475218.45,62076748.33
110015,RO,105242386.51,118551165.83,101815422.68,108845835.16,100594139.66,98686877.08,93150841.42,108740935.47,101546666.35
110018,RO,89003036.52,95861228.54,86716064.04,97298624.80,100237493.45,110663785.33,100648966.04,105139520.68,118775215.42
110020,RO,1442427561.77,1511284426.86,1449260614.32,1493131231.09,1456674738.45,1458734147.37,1462467325.50,1553231501.70,1609608772.64
110025,RO,54560125.94,62678044.35,53356119.86,69503754.45,59942296.00,53570270.82,51253750.21,54425335.41,56495404.69
