codibge, uf, pop, cifpm, part_uf
120001,AC,"14,120",1.0,4.065041%
120005,AC,"6,863",0.6,2.439024%
120010,AC,"24,311",1.4,5.691057%
120013,AC,"9,503",0.6,2.439024%
120017,AC,"10,820",0.8,3.252033%
120020,AC,"82,075",2.8,11.382113%
120025,AC,"17,038",1.2,4.878049%
120030,AC,"32,372",1.6,6.504065%
120032,AC,"7,685",0.6,2.439024%
120033,AC,"17,545",1.2,4.878049%
120034,AC,"8,765",0.6,2.439024%
120035,AC,"17,401",1.2,4.878049%
120038,AC,"18,336",1.2,4.878049%
120080,AC,"17,111",1.2,4.878049%
120039,AC,"11,059",0.8,3.252033%
120042,AC,"17,464",1.2,4.878049%
120043,AC,"6,021",0.6,2.439024%
120050,AC,"42,451",1.8,7.317073%
120045,AC,"21,369",1.2,4.878049%
120060,AC,"39,427",1.8,7.317073%
120070,AC,"17,894",1.2,4.878049%
270010,AL,"20,422",1.2,1.011804%
270020,AL,"17,832",1.2,1.011804%
270030,AL,"232,671",4.0,3.372691%
270040,AL,"47,528",2.0,1.686341%
270050,AL,"15,909",1.0,0.843170%
270060,AL,"8,336",0.6,0.505902%
270070,AL,"18,631",1.2,1.011804%
270080,AL,"4,517",0.6,0.505902%
270090,AL,"6,786",0.6,0.505902%
270100,AL,"27,498",1.4,1.180438%
270110,AL,"10,709",0.8,0.674536%
270120,AL,"10,859",0.8,0.674536%
270130,AL,"21,443",1.2,1.011804%
270135,AL,"7,002",0.6,0.505902%
270140,AL,"57,008",2.2,1.854975%
270150,AL,"9,678",0.6,0.505902%
270160,AL,"17,980",1.2,1.011804%
270170,AL,"17,428",1.2,1.011804%
270180,AL,"9,065",0.6,0.505902%
270190,AL,"7,424",0.6,0.505902%
270200,AL,"10,939",0.8,0.674536%
270210,AL,"21,786",1.2,1.011804%
270220,AL,"5,895",0.6,0.505902%
270230,AL,"57,079",2.2,1.854975%
270235,AL,"24,403",1.4,1.180438%
270240,AL,"52,306",2.2,1.854975%
270250,AL,"11,219",0.8,0.674536%
270255,AL,"18,373",1.2,1.011804%
270260,AL,"22,458",1.2,1.011804%
270270,AL,"4,777",0.6,0.505902%
270280,AL,"12,943",0.8,0.674536%
270290,AL,"40,912",1.8,1.517716%
270300,AL,"15,822",1.0,0.843170%
270310,AL,"26,031",1.4,1.180438%
270320,AL,"24,687",1.4,1.180438%
270330,AL,"18,637",1.2,1.011804%
270340,AL,"5,391",0.6,0.505902%
270350,AL,"7,148",0.6,0.505902%
270360,AL,"8,403",0.6,0.505902%
270370,AL,"5,685",0.6,0.505902%
270375,AL,"11,824",0.8,0.674536%
270380,AL,"24,174",1.4,1.180438%
270390,AL,"4,249",0.6,0.505902%
270400,AL,"25,088",1.4,1.180438%
270410,AL,"18,256",1.2,1.011804%
270420,AL,"28,793",1.4,1.180438%
270440,AL,"20,126",1.2,1.011804%
270490,AL,"3,600",0.6,0.505902%
270450,AL,"32,568",1.6,1.349073%
270460,AL,"9,588",0.6,0.505902%
270470,AL,"51,715",2.2,1.854975%
270480,AL,"13,587",1.0,0.843170%
270500,AL,"25,589",1.4,1.180438%
270510,AL,"25,010",1.4,1.180438%
270520,AL,"17,789",1.2,1.011804%
270530,AL,"5,419",0.6,0.505902%
