indice,codigoibge,uf,pop,cifpm,partuf
1,120001,AC,"15,020",1.0,4.032258%
2,120005,AC,"7,300",0.6,2.419355%
3,120010,AC,"25,848",1.4,5.645161%
4,120013,AC,"10,111",0.6,2.419355%
5,120017,AC,"11,456",0.8,3.225806%
6,120020,AC,"87,673",2.8,11.290322%
7,120025,AC,"18,122",1.2,4.838710%
8,120030,AC,"34,675",1.6,6.451613%
9,120032,AC,"8,159",0.6,2.419355%
10,120033,AC,"18,638",1.2,4.838710%
11,120034,AC,"9,336",0.6,2.419355%
12,120035,AC,"18,430",1.2,4.838710%
13,120038,AC,"19,565",1.2,4.838710%
14,120080,AC,"18,180",1.2,4.838710%
15,120039,AC,"11,720",0.8,3.225806%
16,120042,AC,"18,504",1.2,4.838710%
17,120043,AC,"6,362",0.6,2.419355%
18,120050,AC,"45,177",2.0,8.064515%
19,120045,AC,"22,810",1.2,4.838710%
20,120060,AC,"41,976",1.8,7.258064%
21,120070,AC,"19,048",1.2,4.838710%
